,_latitude,_longitude,arrival_of_the_freight_vehicle,number_of_operators,departure_of_the_freight_vehicle,number_of_available_trolleys,maximum_number_of_vehicles_in_the_traffic_jam,_record_id,_title,_server_updated_at,_updated_by,_geometry,plates,company_if_visible,visit_purpose,type_of_vehicle,refrigerated_truck,type_of_cargo,picture_of_the_parked_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
163,19.07199947,-98.16670171,12:04,1,12:05,0,5.0,ea61b3cb-ddd8-4400-a17b-22f183d60223,"9002–9026 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:13:31 UTC,Pedro Contreras,SRID=4326;POINT(-98.1667017056 19.071999466),9.61E+05,JUMEX,Sales & delivery,Motorcycle,no,"""Non-alcoholic beverages (water, soda, etc.)""",https://web.fulcrumapp.com/photos/view?photos=bf7f759b-5dc2-45fd-aa68-3a10fdeb5986,Street - next to the curbside,no,no,Side,no,no,no,no
164,19.0706946,-98.16773004,11:47,1,11:50,0,5.0,ae8ea7eb-e3f3-4d44-926e-6205f04cf6e5,"8811A Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:08:28 UTC,Diego Galicia Lugo,SRID=4326;POINT(-98.1677300391 19.0706946049),SN-29-117,Pringles,Sales & delivery,SUV,no,"Chips,Nonfood",https://web.fulcrumapp.com/photos/view?photos=d00d6154-c143-4d0b-a7d3-3f9f5b5ed94c,Street - next to the curbside,no,no,Rear,yes,no,no,no
165,19.0754693,-98.1676052,10:45,2,11:10,0,5.0,0175f6b2-5e39-4d17-be7b-5f22ce81d18a,"2034B Calle Cordillera de los Alpes
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:27 UTC,Alejandro Matias,SRID=4326;POINT(-98.1676052 19.0754693),XY-38-302,Pepsi,Sales & delivery,Heavy duty truck,no,"""Non-alcoholic beverages (water, soda, etc.)""",https://web.fulcrumapp.com/photos/view?photos=f44977ec-0293-43de-b692-d666538fcdfb,Street - next to the curbside,no,no,Side,yes,no,no,no
166,19.0724087,-98.1656903,10:44,1,10:47,0,5.0,761b4bb0-19e3-4bd1-bd86-3f09f7c2d894,"9022 Sierra Morena
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:26 UTC,Alejandro Matias,SRID=4326;POINT(-98.1656903 19.0724087),SN-17-510,Danone,Sales & delivery,Light truck or Van,yes,"""Dairy (milk, cheese, etc.)""",https://web.fulcrumapp.com/photos/view?photos=ddf0e5f5-d10d-4fe8-8365-191a67ee1c58,Street - next to the curbside,no,no,Rear,no,no,no,no
167,19.0701709,-98.1667233,10:23,2,10:30,1,5.0,8ae3f454-a90d-4b89-be8c-c5a3e165cab8,"2421 Cord. del Pindo
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:26 UTC,Alejandro Matias,SRID=4326;POINT(-98.1667233 19.0701709),No,Coca Cola,Delivery,Heavy duty truck,no,"""Dairy (milk, cheese, etc.)""",https://web.fulcrumapp.com/photos/view?photos=709d76d0-6152-4009-bb36-c768dbdfefdc,Street - next to the curbside,no,no,Side,yes,no,no,no
168,19.0718907,-98.166637,09:37,1,09:49,0,5.0,11dfd3f0-8a5d-4d2a-b2b9-570781fc9dbe,"9002 Avenida Montes Urales
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:25 UTC,Alejandro Matias,SRID=4326;POINT(-98.166637 19.0718907),23J 237,Lala,Delivery,Light truck or Van,yes,"""Dairy (milk, cheese, etc.)""",https://web.fulcrumapp.com/photos/view?photos=8433af3d-c700-40f3-8c36-881d83b173a0,Street - next to the curbside,no,no,Rear,no,no,no,no
169,19.07335886,-98.16430932,11:24,1,11:25,0,5.0,db46f0d4-590e-415f-9a36-fd4c105055c5,"Avenida Unidad Deportiva
Puebla de Zaragoza PUE 72220
MX",2022-11-09 17:27:16 UTC,Pedro Contreras,SRID=4326;POINT(-98.1643093243 19.0733588603),TZW-91-27,NONE,Sales & delivery,Automobile,no,"""Non-alcoholic beverages (water, soda, etc.)""",https://web.fulcrumapp.com/photos/view?photos=241cfbf3-d075-4627-a43a-cde8401c812c,Street - next to the curbside,no,no,Rear,no,no,no,no
170,19.07263004,-98.16593052,10:44,1,10:46,0,5.0,10d9ef84-7845-4d25-883d-e403a4fcd2ed,"2404 Calle Cordillera de los Balcanes
Puebla de Zaragoza PUE 72220
MX",2022-11-09 16:51:26 UTC,Pedro Contreras,SRID=4326;POINT(-98.1659305166 19.0726300372),TE-5804-G,La Costeña,Delivery,Light truck or Van,no,"Nonfood,Other",https://web.fulcrumapp.com/photos/view?photos=1c992be7-6d86-4f19-a44c-871b62378f3f,Street - next to the curbside,no,no,Side,no,no,no,no
171,19.0736147,-98.16531539,10:18,1,10:19,1,5.0,547b7345-f8ac-4b79-838b-f8da6bdd2f86,"9053–9057 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 16:30:44 UTC,Eduardo Zárate,SRID=4326;POINT(-98.1653153945 19.073614697),SN-29-117,Crunch-It,Delivery,Pick-up,no,"""Bakery (bread, cookies, cakes, etc.)""",https://web.fulcrumapp.com/photos/view?photos=51498804-7b45-4aeb-b677-6a31427a5c5f,Street - next to the curbside,no,no,Rear,no,no,no,no
172,19.07365081,-98.16529302,10:16,2,10:27,1,5.0,c945b9ea-fa24-44f9-bc41-dc0fd492164b,"9053–9057 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 16:30:44 UTC,Eduardo Zárate,SRID=4326;POINT(-98.1652930197 19.0736508138),23J-237,LaLa,Delivery,Light truck or Van,yes,"""Dairy (milk, cheese, etc.)""",https://web.fulcrumapp.com/photos/view?photos=68f7e322-bea4-4665-9ad9-0ecd3d3e858f,Street - next to the curbside,no,no,Rear,no,no,no,no
173,19.07185755,-98.16670569,09:36,1,09:46,0,5.0,b267f7e4-5e7e-4a27-85ea-0ca4b25f9a87,"2404 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 15:42:16 UTC,Eduardo Zárate,SRID=4326;POINT(-98.1667056879 19.071857551),SN-17-510,Danone,Delivery,Light truck or Van,yes,"""Dairy (milk, cheese, etc.)""",https://web.fulcrumapp.com/photos/view?photos=4565a601-6eca-492e-87f4-ac3c31123969,Street - next to the curbside,no,no,Rear,no,no,no,no
174,19.05814233,-98.22542636,15:15,2,15:32,1,5.0,0c549067-d6d6-4137-bf3c-7abbe6c44901,"84 Avenida Teziutlán Norte
Puebla de Zaragoza PUE 72160
MX",2022-11-07 22:41:09 UTC,Jorge Alberto Ostorga Flores,SRID=4326;POINT(-98.2254263603 19.0581423267),SM46579,no,Delivery,Pick-up,no,Produce (fruits & vegetables),https://web.fulcrumapp.com/photos/view?photos=7d9195db-5b27-4b42-ada3-59cf3bce75f8,Street - next to the curbside,no,no,Rear,yes,no,no,no
175,19.04351354,-98.2005907,11:32,1,11:35,0,5.0,0390c1cf-cd81-423e-8c9d-fdf2d4fca170,"6 Avenida 5 Poniente
Puebla PUE 72000
MX",2022-11-03 17:54:57 UTC,José Oropeza,SRID=4326;POINT(-98.2005907028 19.0435135414),TTV-378-A,no,Delivery,Automobile,no,Produce (fruits & vegetables),https://web.fulcrumapp.com/photos/view?photos=b46cc2aa-00a1-4243-b765-6c4f5eca885d,Street - next to the curbside,no,no,Rear,no,no,no,no
176,19.04414633,-98.19590563,10:55,2,11:15,1,5.0,c6487edc-4e83-4879-8587-69290726749a,"6 Avenida 5 Poniente
Puebla PUE 72000
MX",2022-11-03 17:54:57 UTC,José Oropeza,SRID=4326;POINT(-98.1959056349 19.0441463323),SP-38-651,no,Delivery,Light truck or Van,no,Junk food,https://web.fulcrumapp.com/photos/view?photos=790e866b-8830-498c-a439-4b93f72960f2,Street - next to the curbside,no,no,Rear,no,no,no,no
177,19.04361212,-98.19493308,10:36,1,11:00,0,5.0,f964004e-67a0-4b75-b2b0-ce04b9f0b344,"6 Avenida 5 Poniente
Puebla PUE 72000
MX",2022-11-03 17:54:56 UTC,José Oropeza,SRID=4326;POINT(-98.194933077 19.043612116),HL-3785-F,no,Delivery,Light truck or Van,no,"""Bakery (bread, cookies, cakes, etc.)""",https://web.fulcrumapp.com/photos/view?photos=2081172c-5f22-42d8-9524-da21c5b20f7b,Street - next to the curbside,no,no,Rear,no,no,no,no
178,19.04360708,-98.19485605,10:33,1,10:50,0,5.0,5656a189-19f5-45a7-b53b-1a3db0de6571,"6 Avenida 5 Poniente
Puebla PUE 72000
MX",2022-11-03 17:54:56 UTC,José Oropeza,SRID=4326;POINT(-98.1948560508 19.0436070826),SP-29-798,no,Delivery,Light truck or Van,no,"""Bakery (bread, cookies, cakes, etc.)""",https://web.fulcrumapp.com/photos/view?photos=432e2910-5129-476d-8d4f-cb4bca0f74c0,Street - next to the curbside,no,no,Side,no,no,no,no
179,19.04333554,-98.19450331,11:19,1,11:21,1,5.0,bcbd462b-4c63-490b-bfec-0ef6657ead73,"406-B Avenida 2 Oriente
Puebla PUE 72000
MX",2022-11-03 17:54:44 UTC,Emilio Garza,SRID=4326;POINT(-98.1945033093 19.043335537),05-AP-6G,Infra,Delivery,Light truck or Van,no,Gas,https://web.fulcrumapp.com/photos/view?photos=216d8c30-e7b2-487d-a89b-f2282894f790,Street - next to the curbside,no,no,Rear,no,no,no,no
180,19.04357604,-98.19487287,11:03,2,11:04,0,5.0,cd9ba76d-d899-4d87-9512-486aedb1b149,"402E Avenida 2 Oriente
Puebla PUE 72000
MX",2022-11-03 17:14:09 UTC,Emilio Garza,SRID=4326;POINT(-98.1948728731 19.0435760418),LE-88-707,Alpura ,Delivery,Pick-up,yes,"""Dairy (milk, cheese, etc.)""",https://web.fulcrumapp.com/photos/view?photos=1ff24d89-7c85-4ccb-accf-7787effa3dbb,Street - next to the curbside,no,no,Rear,no,no,no,no
181,19.04358952,-98.19490105,11:00,2,11:08,1,5.0,657541f6-7871-4165-80b2-bef59db83e18,"402 Avenida 2 Oriente
Puebla PUE 72000
MX",2022-11-03 17:14:09 UTC,Emilio Garza,SRID=4326;POINT(-98.1949010531 19.043589516),HL-3785-F,Bimbo,Delivery,Pick-up,no,"""Bakery (bread, cookies, cakes, etc.)"",Produce (fruits & vegetables)",https://web.fulcrumapp.com/photos/view?photos=5080470b-b7fa-4017-8066-ea5cd938bbfd,Street - next to the curbside,yes,no,Rear,no,no,no,no
